Brazil,54
Argentina,39
Italy,36
West Germany,27
Germany,23
France,22
England,21
Uruguay,18
Sweden,16
Spain,16
Hungary,15
Netherlands,15
Belgium,14
Soviet Union,13
Portugal,13
Yugoslavia,12
Poland,10
Austria,10
Chile,9
Czechoslovakia,9
Mexico,8
Switzerland,7
United States,6
South Korea,5
Romania,5
Paraguay,4
Russia,4
Peru,4
Nigeria,4
Colombia,4
Denmark,3
Cameroon,3
Turkey,2
Ivory Coast,2
Greece,2
Ecuador,2
Croatia,2
East Germany,2
Saudi Arabia,2
Japan,2
Australia,2
Bulgaria,2
Scotland,2
Northern Ireland,2
Algeria,1
Slovakia,1
Wales,1
Ghana,1
Norway,1
Cuba,1
FR Yugoslavia,1
Ukraine,1
North Korea,1
Tunisia,1
Bosnia and Herzegovina,1
Costa Rica,1
South Africa,1
